model,manufacturer
EZ12EBRMC1A1TYZ,Islandaire
EZ12EBRMC131RVZ,Islandaire
EZ12EBMC1A1TYZ,Islandaire
PTH073E35AXXXAB,Amana
PTH153D35ARDA,Amana
AZ28E15DABM,General Electric
AZ32H12D3BM2,General Electric
A2B578DAALQA,General Electric
AJX09DFV1,General Electric
AJA12DFV1,General Electric
AJM10DFV1,General Electric
AZ32H09E4BM2,General Electric
AJCQ09DCD,General Electric
52CQ-309---3,Carrier
FAH10EN2T3,Frigidaire
52SEE207301AA,Carrier
AZ28E15DBBM1,General Electric
PTH124E35AXXXAC,Amana
PTH124E35AXXXAB,Amana
52SQ,Carrier
EZ12E241A1K44AA,Islandaire
PTH073B25AM,Amana
ETAC-12HC265V20A-K,Gree
PDE12K3SC-A,Friedrich
EZ4209A2C1S44AA,Islandaire
AZ21E06D2CV1,General Electric
2500,General Electric
PTH153G35AXXXAA,Amana
PTH09335G,Amana
PTH09335F,Amana
FAA0557,Frigidaire
A10-42,Chrysler
PTH093G35AXXXAA,Amana
PTC093D35ARDA,Amana
PDE12K3SG,Friedrich
PTC094E35AXXXAB,Amana
AZ32H09D3BM1,General Electric
PTC094G50AXXX,Amana
52CEC309431AA,Carrier
LP096CD3A,LG
PTC124B35AE,Amana
PTEC1202GCA,Trane
PTC094B25AE,Amana
PTC094B25AM,Amana
PTC074B25AM,Amana
10C2MY,Amana
PDH12K3SG,Friedrich
52CEC309451AA,Carrier
PTC094D35ARDA,Amana
PTC094B35AMBP,Amana
PTH094E35XXXAB,Amana
52CEB312431AA,Carrier
52CEB312401AA,Carrier
PDE12R3SG-A,Friedrich
AZ41E12EABW2,General Electric
AZ38H12EABM1,General Electric
AZ41E12EABW3,General Electric
AZ21E09EACV1,General Electric
AZ32H12E4BM2,General Electric
AZ35H12E4DM1,General Electric
AZ55H12EADM1,General Electric
LP120HEDI,LG
PTEC1202GAA,Trane
52SED207301AA,Carrier
PTC093G25AXXXAB,Amana
PTC093E25AXXXAC,Amana
PTC073D25ARDA,Amana
AZ29E15DABM1,General Electric
AZ22E07D2PM1,General Electric
PTC093E25AXXXAB,Amana
AZ25E09D3BM1,General Electric
PDH09K3SG,Friedrich
PTC124G35AXXXA,Amana
AZ25E12D3CM1,General Electric
PTC123B35CJ,Amana
PTC123E35AXAB,Amana
PTH153E35AAC,Amana
PTC123G358XXXAA,Amana
EZ4209E2C1S44AA,Islandaire
PTC124G358XXAA,Amana
52CEC309351CP,Carrier
PTC24G35AXXXAA,Amana
PTC124G358XXXAA,Amana
AZ28E12DAM1,General Electric
PTC123G35AXXXAE,Amana
PTC23G358XXXAA,Amana
52PQA309331AA,Carrier
AZ21E0903CV3,General Electric
AZ25E09D3CM1,General Electric
EZ4208E2C1S44AA,Islandaire
PTED97901DCA,Trane
PTH073D35ARDA,Amana
PTC073G25AXXXAA,Amana
PTC673825AG,Amana
PTC0733025AJAXXXAA,Amana
PTH073B25AG,Amana
PTC073325AJ,Amana
PTC073025ARBA,Amana
PTC073025ARDA,Amana
PTH073B25A,Amana
PTC0773B25AJ,Amana
PTH073B27,Amana
PTH073825AJ,Amana
PTC07325AXXXAB,Amana
PTC073G35AXXXAA,Amana
PTH093A25AB,Amana
PTC073E25AXXXAC,Amana
PTH0773B25AJ,Amana
PTC093B25AE,Amana
PTC093B35AMBD,Amana
PTC093B358J,Amana
PTC093A35AC,Amana
PTH093A35AA,Amana
PTC093B35AMBR,Amana
52CEE312331AA,Carrier
PTC093E35XXXAB,Amana
PTC093D25ARDB,Amana
PTC093A35AJ,Amana
PTC093G35XXXAA,Amana
PTC093G5AXXXAA,Amana
LP073CD2A,LG
PTC093BB5AT,Amana
PTC093B35AMB9,Amana
PTC093E35AXXAC,Amana
STW1223C1,Sanyo
PTC093B35AMB,Amana
PTC093AXXXAA,Amana
PTC093B25ANBP,Amana
PTC093B25AMBP,Amana
PTC093B25ARDB,Amana
PTH093B2588,Amana
PTC093B258E,Amana
PTC0935AMBP,Amana
PTC093B25AG,Amana
52SQB312301AA,Carrier
PTC123E25AXXXAB,Amana
52CQB312301AA,Carrier
PTH123B35BP,Amana
PTC093D35DB,Amana
PTH123B25AE,Amana
PTC123G25AXXXAB,Amana
PTC123B35AXXXAB,Amana
Unknown,McQuay
LP153HD3B,LG
R8000Y3,GoldStar
AJEQ12DCFL1,General Electric
PTC124E35AXXXAS,Amana
PTC124A35AXXXAB,Amana
PTC073G35AXXXAB,Amana
AJCQ10ACFH1,General Electric
PTA07G1AMBDC35B,ClimateMaster
FRP12PTT2R,Frigidaire
MQE012C0325SM1Y,McQuay
AZ25E15D3BM1,General Electric
MQE012DO3HWSL2Y,McQuay
AJES08ASBN1,General Electric
AJEQ10DCDW1,General Electric
AJES12DCAM1,General Electric
AJES09ABCCM2,General Electric
AJES12GCBM1,General Electric
AJES12BCBM1,General Electric
AJCS10ACCM2,General Electric
PTC093E35EXXXAC,Amana
EZ42098231S44AA,Islandaire
LP070CED-Y8,LG
PTED0701DCA,Trane
ETAC-12HP230V20A-A,Gree
ARNU093BHA2,LG
ARNU153BGA2,LG
PTH093G50AMBP,Amana
AC28E15DACM1,General Electric
PTH093B50B0AMBP,Amana
PTC123625AXXXAA,Amana
PTC23625AXXXAA,Amana
PTC073035ARDA,Amana
PTC073E35AXXAB,Amana
AZ41E07DABM1,General Electric
PTC093BB335AMBP,Amana
PTC123G26AXXXAA,Amana
PTC123G25AXXXAA,Amana
PTC073A35AC,Amana
PTH094B35AMBP,Amana
PTC093B35AMTB,Amana
PDE15K55GA,Friedrich
PTC124G35AXXXAA,Amana
52CQC309431AA,Carrier
PDE07K,Friedrich
A22AE09B0M2,General Electric
PTHC0902GAA,Trane
AZ41E09EABW4,General Electric
AZ2AE09EABM2,General Electric
EZ420SA7C1544AA,Islandaire
EZ4209A7C1544AA,Islandaire
LP0903CDCA,LG
PTEE0902UABA,Trane
AZC209DBV3,General Electric
AZ31H09D3CV3,General Electric
AZ21E09DACV1,General Electric
DRYC073B35AMAB,Amana
PTC073A25AB,Amana
PTC073B35AUBM,Amana
PDE15K5SG,Friedrich
LWHD1200HR,LG
52CE-307---3,Carrier
DRY093G35CXXXAA,Amana
DRYC123B35CMAB,Amana
52MEBU12301AA,Carrier
AZ25E15D2BM1,General Electric
PTC123G50AXXXAB,Amana
PTHC0901EBA,Trane
DRYC123B35CMAA,Amana
PTHC1501JBA,Trane
D3001,Nailor
D30RE,Nailor
PDE09K3SF-A,Friedrich
AZ29E12EACM1,General Electric
AZ29EL2EAZM1,General Electric
